,_id,Thành phố,Diện tích,Đường trước nhà,Mặt tiền,Số tầng,Số toilet,Số phòng ngủ,Loại,Hướng,Mức giá
12445,67483abea2187cd9d808c636,hồ chí minh,82.0,,,,2.0,3.0,CC,N,3.2
12446,67483abea2187cd9d808c637,quảng ninh,68.0,,,,2.0,2.0,CC,TB,
12447,67483abea2187cd9d808c638,quảng ninh,33.32,,,,1.0,1.0,CC,TB,1.2
12448,67483abea2187cd9d808c639,bình dương,61.0,,,,,,CC,,2.5
12449,67483abea2187cd9d808c63a,hà nội,82.0,,,,2.0,2.0,CC,,5.0
12450,67483abea2187cd9d808c63b,hà nội,138.0,,,,2.0,3.0,CC,Đ,7.5
12451,67483abea2187cd9d808c63c,hồ chí minh,115.0,,,,2.0,3.0,CC,ĐB,8.05
12452,67483abea2187cd9d808c63d,bình dương,85.0,,,,2.0,2.0,CC,TN,3.0
12453,67483abea2187cd9d808c63e,hồ chí minh,90.0,,,,2.0,2.0,CC,ĐB,11.7
12454,67483abea2187cd9d808c63f,hà nội,58.0,,,,2.0,2.0,CC,TB,2.784
12455,67483abea2187cd9d808c640,hà nội,84.4,,,,2.0,2.0,CC,,
12456,67483abea2187cd9d808c641,hồ chí minh,114.0,,,,2.0,3.0,CC,Đ,3.65
12457,67483abea2187cd9d808c642,hồ chí minh,122.0,,,,2.0,3.0,CC,N,9.5
12458,67483abea2187cd9d808c643,hà nội,76.0,,,,2.0,2.0,CC,,4.0
12459,67483abea2187cd9d808c644,hà nội,104.0,,,,2.0,3.0,CC,,5.25
12460,67483abea2187cd9d808c645,hà nội,88.0,,,,2.0,2.0,CC,TB,4.4
12461,67483abea2187cd9d808c646,hà nội,64.0,,,,2.0,2.0,CC,TB,3.55
12462,67483abea2187cd9d808c647,hà nội,80.0,,,,2.0,3.0,CC,TB,3.5
12463,67483abea2187cd9d808c648,hà nội,146.0,,,,3.0,3.0,CC,,8.468
12464,67483abea2187cd9d808c649,bình dương,52.0,,,,2.0,2.0,CC,,1.9
12465,67483abea2187cd9d808c64a,bình dương,55.0,,,,2.0,2.0,CC,,1.79
12466,67483abea2187cd9d808c64b,bình dương,57.0,,,,2.0,2.0,CC,,1.8
12467,67483abea2187cd9d808c64c,hà nội,155.0,,,,,,CC,,13.8
12468,67483abea2187cd9d808c64d,hà nội,72.0,,,,2.0,2.0,CC,ĐN,7.2
12469,67483abea2187cd9d808c64e,hồ chí minh,73.0,,,,2.0,2.0,CC,ĐB,3.58
12470,67483abea2187cd9d808c64f,hồ chí minh,45.0,,,,1.0,1.0,CC,,3.0
12471,67483abea2187cd9d808c650,bình dương,70.0,,,,2.0,2.0,CC,,2.56
12472,67483abea2187cd9d808c651,hà nội,47.0,,,,1.0,1.0,CC,,2.23
12473,67483abea2187cd9d808c652,hà nội,88.0,,,,2.0,2.0,CC,TN,9.5
12474,67483abea2187cd9d808c653,hồ chí minh,248.0,,,,5.0,5.0,CC,,26.0
12475,67483abea2187cd9d808c654,đà nẵng,70.0,,,,2.0,2.0,CC,B,
12476,67483abea2187cd9d808c655,hồ chí minh,53.0,,,,2.0,2.0,CC,ĐN,2.25
12477,67483abea2187cd9d808c656,hồ chí minh,88.0,,,,2.0,3.0,CC,ĐN,3.3
12478,67483abea2187cd9d808c657,hà nội,96.0,,,,2.0,3.0,CC,ĐB,6.48
12479,67483abea2187cd9d808c658,hà nội,54.0,,,,2.0,2.0,CC,ĐB,3.35
12480,67483abea2187cd9d808c659,hồ chí minh,74.0,,,,2.0,2.0,CC,,6.5
12481,67483abea2187cd9d808c65a,hà nội,55.0,,,,1.0,2.0,CC,N,2.85
12482,67483abea2187cd9d808c65b,hà nội,80.0,,,,2.0,2.0,CC,TB,4.55
12483,67483abea2187cd9d808c65c,hà nội,151.0,,,,3.0,3.0,CC,TB,8.5
12484,67483abea2187cd9d808c65d,hồ chí minh,80.0,,,,1.0,1.0,CC,,4.95
12485,67483abea2187cd9d808c65e,bình dương,85.0,,,,2.0,2.0,CC,,3.05
12486,67483abea2187cd9d808c65f,hà nội,95.0,,,,2.0,3.0,CC,ĐB,6.5
12487,67483abea2187cd9d808c660,hà nội,70.0,,,,2.0,2.0,CC,ĐN,5.0
12488,67483abea2187cd9d808c661,bình định,65.0,,,,2.0,2.0,CC,TB,2.75
12489,67483abea2187cd9d808c662,hồ chí minh,98.0,,,,2.0,3.0,CC,,6.1
12490,67483abea2187cd9d808c663,quảng ninh,74.0,,,,2.0,3.0,CC,,2.3
12491,67483abea2187cd9d808c664,hà nội,75.0,,,,2.0,3.0,CC,,3.75
12492,67483abea2187cd9d808c665,hà nội,93.0,,,,2.0,3.0,CC,,4.8
12493,67483abea2187cd9d808c666,hà nội,57.8,,,,2.0,2.0,CC,TB,3.8
12494,67483abea2187cd9d808c667,hà nội,80.0,,,,2.0,3.0,CC,,
12495,67483abea2187cd9d808c668,hà nội,75.0,,,,2.0,2.0,CC,ĐN,5.4
12496,67483abea2187cd9d808c669,hà nội,62.29,,,,2.0,2.0,CC,,4.2
12497,67483abea2187cd9d808c66a,đà nẵng,70.8,,,,2.0,2.0,CC,,2.15
12498,67483abea2187cd9d808c66b,đà nẵng,51.3,,,,1.0,1.0,CC,,5.67
12499,67483abea2187cd9d808c66c,hồ chí minh,74.0,,,,2.0,2.0,CC,B,3.8
